Feature Name,coef
37_36,16.034626007080078
80_36,16.673959732055664
84_38,16.24481201171875
88_39,17.799142837524414
47_36,15.76185417175293
62_39,18.63471794128418
84_36,15.890115737915039
39_62,18.0633487701416
26_36,15.174691200256348
38_84,16.840972900390625
36_30,15.561429977416992
78_36,15.362088203430176
36_80,15.250909805297852
7_36,15.088144302368164
39_88,19.19295310974121
39_12,14.898035049438477
12_39,14.907203674316406
24_84,14.86795425415039
37_84,14.714014053344727
36_78,14.684985160827637
84_24,14.65864372253418
40_50,14.60591983795166
74_36,14.491629600524902
30_36,14.415547370910645
72_36,14.263082504272461
40_4,14.152139663696289
10_39,14.063228607177734
70_36,13.978845596313477
39_20,13.97204303741455
40_2,13.908829689025879
80_84,13.848893165588379
16_84,13.837299346923828
40_38,13.807281494140625
31_39,13.797601699829102
4_36,13.692042350769043
39_43,13.625906944274902
57_36,13.516509056091309
36_37,13.475955963134766
18_84,13.472799301147461
85_29,13.433414459228516
28_36,13.389656066894531
84_80,13.385422706604004
22_36,13.309673309326172
40_26,13.289542198181152
40_34,13.244715690612793
67_36,13.197038650512695
2_36,13.16355037689209
71_36,13.122039794921875
32_36,13.048656463623047
40_68,12.974853515625
68_36,12.942862510681152
39_41,12.92160415649414
16_36,12.880375862121582
76_39,12.839232444763184
36_70,12.826386451721191
70_84,12.741636276245117
29_36,12.70307731628418
40_7,12.697026252746582
40_9,12.642818450927734
84_30,12.618074417114258
36_32,12.585822105407715
30_84,12.577333450317383
20_39,12.559599876403809
36_72,12.552643775939941
39_10,12.471168518066406
36_26,12.4497709274292
9_36,12.431352615356445
40_28,12.288504600524902
39_3,12.17037582397461
84_70,12.170018196105957
36_16,12.141535758972168
40_8,12.120278358459473
36_74,12.097740173339844
40_32,12.043281555175781
85_32,12.029125213623047
40_74,12.023417472839355
38_36,11.98719310760498
25_39,11.977954864501953
36_86,11.90834903717041
21_84,11.813689231872559
36_28,11.761295318603516
80_39,11.749959945678711
73_36,11.7423734664917
36_7,11.71119213104248
36_71,11.6983642578125
36_87,11.68361759185791
82_36,11.654425621032715
1_36,11.651863098144531
39_80,11.619036674499512
84_18,11.555068969726562
28_38,11.505851745605469
9_39,11.477889060974121
86_36,11.475568771362305
85_68,11.382509231567383
85_54,11.346600532531738
85_84,11.332367897033691
38_28,11.32254409790039
23_84,11.320176124572754
62_88,11.295394897460938
39_76,11.26901626586914
