Roi Name,X,Y,Z
0,55,68,57
1,31,75,75
2,81,73,76
3,43,100,70
4,68,98,71
5,44,108,35
6,66,109,35
7,34,99,66
8,78,99,65
9,36,110,38
10,76,111,37
11,25,86,55
12,86,88,57
13,26,97,53
14,86,97,53
15,32,98,36
16,81,98,36
17,25,73,52
18,88,74,53
19,52,81,82
20,60,78,82
21,50,88,37
22,61,88,37
23,52,109,63
24,61,110,62
25,52,112,39
26,60,111,39
27,52,101,32
28,60,100,32
29,33,82,46
30,79,82,45
31,52,101,52
32,60,101,54
33,52,69,69
34,60,73,69
35,52,51,59
36,60,52,57
37,39,65,37
38,73,66,37
39,42,68,31
40,71,69,31
41,40,78,33
42,72,78,33
43,50,29,48
44,65,32,49
45,51,28,61
46,63,28,61
47,46,35,41
48,65,36,41
49,45,25,61
50,70,27,63
51,35,27,54
52,78,28,56
53,32,29,39
54,79,27,39
55,35,53,31
56,76,54,31
57,28,64,74
58,81,62,77
59,40,41,80
60,71,41,82
61,28,49,73
62,84,49,75
63,20,57,62
64,91,58,65
65,27,40,66
66,83,40,68
67,50,43,74
68,61,43,71
69,50,62,87
70,60,58,86
71,48,85,50
72,64,86,50
73,40,81,45
74,72,81,45
75,44,78,44
76,68,78,44
77,48,67,49
78,63,67,49
79,29,66,50
80,83,67,50
81,22,65,48
82,91,64,48
83,30,88,31
84,85,87,33
85,20,57,42
86,91,55,43
87,33,87,22
88,82,87,24
89,24,61,29
90,88,59,30
91,33,36,26
92,79,36,25
93,38,32,20
94,75,35,19
95,50,55,32
96,63,57,32
97,46,51,33
98,66,51,32
99,41,41,30
100,71,42,29
101,35,40,15
102,76,39,13
103,39,44,14
104,71,43,13
105,49,47,15
106,61,47,15
107,41,57,18
108,72,57,18
109,56,54,31
110,56,53,36
111,56,45,40
112,56,36,34
113,56,33,28
114,56,38,23
115,56,44,22
116,56,49,24
